variable,label,domain,family,primary_population,zero_coded_sensitivity,valid_min,valid_max,description,notes,value_coding
cannabis_ever,Lifetime cannabis use,Cannabis use,binary,all,FALSE,0,1,Have you ever used cannabis?,Lifetime cannabis-use indicator.,0 = No; 1 = Yes
cannabis_firstuse,Age at first cannabis use,Cannabis use,continuous,all,FALSE,5,80,How old were you when you first used cannabis?,Source eligibility: participants reporting lifetime cannabis use; the all-participant model therefore uses the observed eligible sample without structural zero coding. The descriptive table reports its run-specific non-missing denominator.,Age in years
cannabis_current,Current cannabis use,Cannabis use,binary,all,FALSE,0,1,"In the past 6 months, have you used cannabis for medical purposes (to treat disease or improve symptoms) or recreational purposes, including use without formal medical authorization?",A past-3-month interval was used for waves separated by 3 months.,0 = No; 1 = Yes
cudit_freq,CUDIT frequency,Cannabis use,count,all,TRUE,0,8,CUDIT-R frequency score comprising items 1 and 2.,Confirmed non-users receive structural zero in the all-participant primary model; genuine user missingness remains missing; current-user results are effect-size-only sensitivity estimates.,"Summed score, 0–8; higher scores indicate more frequent cannabis use"
cudit_sev,CUDIT problem,Cannabis use,count,all,TRUE,0,24,CUDIT-R problem score comprising items 3 through 8.,Confirmed non-users receive structural zero in the all-participant primary model; genuine user missingness remains missing; current-user results are effect-size-only sensitivity estimates. The source table called this the severity score.,"Summed score, 0–24; higher scores indicate more cannabis-related problems"
logBreakpoint,MPT breakpoint,Reinforcing pathology,continuous,users_only,FALSE,0,,First price increment at which no cannabis would be purchased or consumed.,Marijuana Purchase Task breakpoint; non-users remain missing. Recomputed from the raw non-negative parameter at run time.,log1p(raw breakpoint)
logIntensity,MPT intensity,Reinforcing pathology,continuous,users_only,FALSE,0,,Cannabis consumption when cannabis is free.,Marijuana Purchase Task curve-derived intensity (Q0); non-users remain missing. Recomputed from the raw non-negative parameter at run time.,log1p(raw intensity)
logOmax,MPT Omax,Reinforcing pathology,continuous,users_only,FALSE,0,,Maximum cannabis expenditure across the Marijuana Purchase Task price series.,Marijuana Purchase Task Omax; non-users remain missing. Recomputed from the raw non-negative parameter at run time.,log1p(raw Omax)
logPmax,MPT Pmax,Reinforcing pathology,continuous,users_only,FALSE,0,,Price associated with maximum total cannabis expenditure.,Marijuana Purchase Task curve-derived Pmax (unit elasticity); non-users remain missing. Recomputed from the raw non-negative parameter at run time.,log1p(raw Pmax)
logAlpha,MPT alpha,Reinforcing pathology,continuous,users_only,FALSE,0,,Sensitivity of cannabis consumption to increases in price.,Marijuana Purchase Task elasticity parameter (alpha); non-users remain missing. Recomputed from the raw non-negative parameter at run time.,log1p(raw alpha)
cannabis_expenditure,Monthly cannabis expenditure,Reinforcing pathology,continuous,all,TRUE,0,,"In the last 6 months, how much do you typically spend on cannabis each month?",Confirmed non-users receive structural zero in the all-participant primary model; genuine user missingness remains missing; current-user results are effect-size-only sensitivity estimates.,Monthly expenditure; non-negative continuous value
mmm_enhancement,MMM Enhancement,Motives,continuous,all,TRUE,0,20,Marijuana Motives Measure enhancement subscale.,Confirmed non-users receive structural zero in the all-participant primary model; genuine user missingness remains missing; current-user results are effect-size-only sensitivity estimates.,0–20; higher scores indicate stronger enhancement motives
mmm_conformity,MMM Conformity,Motives,continuous,all,TRUE,0,20,Marijuana Motives Measure conformity subscale.,Confirmed non-users receive structural zero in the all-participant primary model; genuine user missingness remains missing; current-user results are effect-size-only sensitivity estimates.,0–20; higher scores indicate stronger conformity motives
mmm_expansion,MMM Expansion,Motives,continuous,all,TRUE,0,20,Marijuana Motives Measure expansion subscale.,Confirmed non-users receive structural zero in the all-participant primary model; genuine user missingness remains missing; current-user results are effect-size-only sensitivity estimates.,0–20; higher scores indicate stronger expansion motives
mmm_coping,MMM Coping,Motives,continuous,all,TRUE,0,20,Marijuana Motives Measure coping subscale.,"Items 1, 4, 6, and 17 are summed and prorated by 5/4; confirmed non-users receive structural zero in the all-participant primary model; genuine user missingness remains missing; current-user results are effect-size-only sensitivity estimates.",0–20; higher scores indicate stronger coping motives
mmm_social,MMM Social,Motives,continuous,all,TRUE,0,20,Marijuana Motives Measure social subscale.,Confirmed non-users receive structural zero in the all-participant primary model; genuine user missingness remains missing; current-user results are effect-size-only sensitivity estimates.,0–20; higher scores indicate stronger social motives
cann_med_acceptable,Medical cannabis acceptability,Attitudes / perceptions,ordinal,all,FALSE,1,4,How socially acceptable do you think it is for a person to use cannabis regularly for medical purposes?,The source response 5 = No opinion is recoded as missing before all analyses.,1 = Completely acceptable; 2 = Somewhat acceptable; 3 = Somewhat unacceptable; 4 = Completely unacceptable; No opinion = missing
cann_rec_acceptable,Recreational cannabis acceptability,Attitudes / perceptions,ordinal,all,FALSE,1,4,How socially acceptable do you think it is for a person to use cannabis regularly for non-medical purposes?,The source response 5 = No opinion is recoded as missing before all analyses.,1 = Completely acceptable; 2 = Somewhat acceptable; 3 = Somewhat unacceptable; 4 = Completely unacceptable; No opinion = missing
cannabis_acceptable,Trying cannabis acceptability,Attitudes / perceptions,ordinal,all,FALSE,1,5,How do you feel about adults trying cannabis once or twice for non-medical or recreational purposes?,Higher scores indicate greater disapproval.,1 = Strongly approve; 2 = Somewhat approve; 3 = Neither approve nor disapprove; 4 = Somewhat disapprove; 5 = Strongly disapprove
nsduh3,Perceived weekly cannabis harm,Attitudes / perceptions,ordinal,all,FALSE,1,4,How much do people risk harming themselves physically and in other ways when they use cannabis once or twice a week?,Higher scores indicate greater perceived harm.,1 = No risk; 2 = Slight risk; 3 = Moderate risk; 4 = Great risk
cannabis_risk,Perceived cannabis risk count,Attitudes / perceptions,count,all,FALSE,0,12,Count of endorsed perceived risks of cannabis use.,"Options included no risks, legal problems, addiction, impaired memory, increased use of other drugs, personal or relationship problems, decreased intelligence, decreased energy, new or worsening health problems, increased stress/anxiety/depression, disrupted sleep, and other.","Count of endorsed risk options, 0–12"
cannabis_benefits,Perceived cannabis benefit count,Attitudes / perceptions,count,all,FALSE,0,11,Count of endorsed perceived benefits of cannabis use.,"Options included no benefits, pain management, treatment of disease, relief from stress/anxiety/depression, improved appetite, improved sleep, help decreasing other medicines, improved creativity, improved focus, increased energy, and other. The source table used the singular name cannabis_benefit; the analysis variable is cannabis_benefits.","Count of endorsed benefit options, 0–11"
cannabis_impact1,Impact on friendships / social life,Effects of cannabis use,ordinal,users_only,FALSE,1,5,"During the past 6 months, what type of effect did your cannabis use have on your friendships or social life?","Current-user outcome. In the finalized pipeline, non-users and genuine missing responses remain missing; this supersedes the supplied legacy neutral-value-of-3 note.",1 = Very positive effect; 2 = Positive effect; 3 = No effect; 4 = Negative effect; 5 = Very negative effect
cannabis_impact2,Impact on physical health,Effects of cannabis use,ordinal,users_only,FALSE,1,5,"During the past 6 months, what type of effect did your cannabis use have on your physical health?",Current-user outcome; non-users and genuine missing responses remain missing.,1 = Very positive effect; 2 = Positive effect; 3 = No effect; 4 = Negative effect; 5 = Very negative effect
cannabis_impact3,Impact on physical mobility,Effects of cannabis use,ordinal,users_only,FALSE,1,5,"During the past 6 months, what type of effect did your cannabis use have on your physical mobility?",Current-user outcome; non-users and genuine missing responses remain missing.,1 = Very positive effect; 2 = Positive effect; 3 = No effect; 4 = Negative effect; 5 = Very negative effect
cannabis_impact4,Impact on mental health,Effects of cannabis use,ordinal,users_only,FALSE,1,5,"During the past 6 months, what type of effect did your cannabis use have on your mental health?",Current-user outcome; non-users and genuine missing responses remain missing.,1 = Very positive effect; 2 = Positive effect; 3 = No effect; 4 = Negative effect; 5 = Very negative effect
cannabis_impact5,Impact on home life / marriage,Effects of cannabis use,ordinal,users_only,FALSE,1,5,"During the past 6 months, what type of effect did your cannabis use have on your home life or marriage?",Current-user outcome; non-users and genuine missing responses remain missing.,1 = Very positive effect; 2 = Positive effect; 3 = No effect; 4 = Negative effect; 5 = Very negative effect
cannabis_impact6,Impact on work / studies,Effects of cannabis use,ordinal,users_only,FALSE,1,5,"During the past 6 months, what type of effect did your cannabis use have on your work or studies?",Current-user outcome; non-users and genuine missing responses remain missing.,1 = Very positive effect; 2 = Positive effect; 3 = No effect; 4 = Negative effect; 5 = Very negative effect
cannabis_impact7,Impact on quality of life,Effects of cannabis use,ordinal,users_only,FALSE,1,5,"During the past 6 months, what type of effect did your cannabis use have on your quality of life?",Current-user outcome; non-users and genuine missing responses remain missing.,1 = Very positive effect; 2 = Positive effect; 3 = No effect; 4 = Negative effect; 5 = Very negative effect
mae,Acute subjective effects summed score,Effects of cannabis use,count,users_only,FALSE,14,70,"Complete sum of 14 acute subjective-effect items assessing changes in consciousness, dry mouth, dizziness, headache, nausea/vomiting, fatigue, visual disturbance, appetite change, coordination and cognitive difficulties, paranoia, and visual or auditory hallucinations when using cannabis.",Participants endorsing medical or recreational cannabis use rated each consequence. Current-user outcome; non-users and genuine missing responses remain missing.,"Each item: 1 = None, 2 = Minimal, 3 = Mild, 4 = Moderate, 5 = Intense; complete 14-item sum, 14–70"
